,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
count,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0,266.0
mean,3.150374856125367,3.0871807650180014,3.042642282820948,3.0031913289348706,2.9768886010226936,2.9540527625125024,2.92834894687653,2.9125253900923784,2.905146190296972,2.87955400462324,2.8472130949683243,2.808302206789238,2.803367592789336,2.750442602840173,2.7284980643524492,2.702205006572405,2.659566857581644,2.6131670022720366,2.573180190906781,2.5328865187015346,2.4931017982482335,2.465724842290967
std,1.7427751687183628,1.7421839742464014,1.7235290898595246,1.6996952059990647,1.671548479852203,1.6405318314765616,1.6202398304693668,1.5924922348169805,1.560680720933369,1.5391560006836325,1.521449470288718,1.5094571999357367,1.4617673397957751,1.460132278637868,1.4275753915424065,1.3953736815523692,1.3795675268237164,1.3617537419219898,1.3457898606852823,1.3289268438673032,1.3076435760543204,1.2880139295025794
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.78125,1.7469999999999999,1.75075,1.7485,1.75,1.7625,1.7610000000000001,1.75775,1.77,1.79175,1.7635,1.7392500000000002,1.733071588387035,1.7040000000000002,1.716,1.7025,1.69,1.6369882908395674,1.6175,1.60025,1.559752835650545,1.5683037747528101
50%,2.685,2.596876020743585,2.5495,2.4955,2.4865,2.4975,2.441,2.4745,2.442,2.3804999999999996,2.341,2.2865,2.277,2.248,2.2255000000000003,2.229,2.1995,2.1645000000000003,2.1235,2.0940000000000003,2.0455,2.0275
75%,4.3622499999999995,4.18575,4.103,4.0062500000000005,3.9185,3.82825,3.82825,3.7220000000000004,3.761,3.8095,3.7415000000000003,3.67525,3.64675,3.620954459308885,3.5761578174953375,3.5152595243018525,3.459786396187105,3.398900850468475,3.34592211438602,3.3136235260501423,3.2557166738681875,3.2315
max,7.732,7.695,7.671,7.654,7.634,7.615,7.579,7.559,7.539,7.513,7.485,7.449,7.4,7.344,7.279,7.211,7.141,7.084,7.023,6.961,6.892,6.82
